detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
ORB,ORB,MAT_FLANN,SEL_KNN,1,0,0,2000,1280,1.4565,1,24.9857,12.5289,120,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
ORB,ORB,MAT_FLANN,SEL_KNN,1,0,0,2000,1316,1.4732,2,16.8148,16.853,16.5608,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
ORB,ORB,MAT_FLANN,SEL_KNN,1,0,0,2000,1306,1.46547,3,23.131,15.3541,26.4442,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
ORB,ORB,MAT_FLANN,SEL_KNN,1,0,0,2000,1274,1.4728,4,29.6814,12.6599,74.9628,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
ORB,ORB,MAT_FLANN,SEL_KNN,1,0,0,2000,1313,1.48388,5,14.7376,13.3314,13.9391,12.995,7.638,1.442,7.683,1.35,0.5,0.1
ORB,ORB,MAT_FLANN,SEL_KNN,1,0,0,2000,1255,1.48389,6,27.5107,14.1222,120,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
ORB,ORB,MAT_FLANN,SEL_KNN,1,0,0,2000,1259,1.5095,7,16.4606,13.5005,21.4703,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
ORB,ORB,MAT_FLANN,SEL_KNN,1,0,0,2000,1291,1.53537,8,20.1089,11.6698,120,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
ORB,ORB,MAT_FLANN,SEL_KNN,1,0,0,2000,1231,1.45973,9,15.8652,12.0817,20.0162,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
ORB,ORB,MAT_FLANN,SEL_KNN,1,0,0,2000,1205,1.43658,10,14.0762,11.7507,13.9218,12.5864,7.393,1.411,7.414,1.342,1,0.1
ORB,ORB,MAT_FLANN,SEL_KNN,1,0,0,2000,1259,1.4701,11,16.2819,10.1648,24.3892,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
ORB,ORB,MAT_FLANN,SEL_KNN,1,0,0,2000,1203,1.4703,12,12.4243,9.68322,11.9247,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
ORB,ORB,MAT_FLANN,SEL_KNN,1,0,0,2000,1270,1.52649,13,12.2755,9.20459,11.7383,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
ORB,ORB,MAT_FLANN,SEL_KNN,1,0,0,2000,1256,1.48153,14,11.9552,8.32764,11.4782,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
ORB,ORB,MAT_FLANN,SEL_KNN,1,0,0,2000,1242,1.44456,15,12.8043,9.15646,12.3882,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
ORB,ORB,MAT_FLANN,SEL_KNN,1,0,0,2000,1279,1.4577,16,12.897,11.1345,12.0299,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
ORB,ORB,MAT_FLANN,SEL_KNN,1,0,0,2000,1289,1.47907,17,11.9624,8.29606,11.7553,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
