detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
HARRIS,AKAZE,MAT_BF,SEL_NN,1,0,0,209,107,1.37273,1,120,12.5289,80.7525,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
HARRIS,AKAZE,MAT_BF,SEL_NN,1,0,0,114,107,1.36145,2,120,16.853,120,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
HARRIS,AKAZE,MAT_BF,SEL_NN,1,0,0,178,160,1.38268,3,11.8574,15.3541,11.5792,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
HARRIS,AKAZE,MAT_BF,SEL_NN,1,0,0,250,200,1.38228,4,19.7576,12.6599,13.6432,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
HARRIS,AKAZE,MAT_BF,SEL_NN,1,0,0,241,195,1.37062,5,18.6583,13.3314,13.9039,12.995,7.638,1.442,7.683,1.35,0.5,0.1
HARRIS,AKAZE,MAT_BF,SEL_NN,1,0,0,259,207,1.41601,6,17.0685,14.1222,13.497,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
HARRIS,AKAZE,MAT_BF,SEL_NN,1,0,0,272,177,1.38919,7,13.9349,13.5005,12.6385,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
HARRIS,AKAZE,MAT_BF,SEL_NN,1,0,0,193,114,1.37743,8,3.49848,11.6698,3.90277,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
HARRIS,AKAZE,MAT_BF,SEL_NN,1,0,0,129,118,1.39416,9,120,12.0817,120,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
HARRIS,AKAZE,MAT_BF,SEL_NN,1,0,0,248,138,1.39205,10,11.4408,11.7507,11.4377,12.5864,7.393,1.411,7.414,1.342,1,0.1
HARRIS,AKAZE,MAT_BF,SEL_NN,1,0,0,147,131,1.35689,11,19.0321,10.1648,12.551,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
HARRIS,AKAZE,MAT_BF,SEL_NN,1,0,0,168,142,1.36299,12,12.4647,9.68322,25.6953,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
HARRIS,AKAZE,MAT_BF,SEL_NN,1,0,0,181,130,1.39591,13,10.1257,9.20459,12.1403,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
HARRIS,AKAZE,MAT_BF,SEL_NN,1,0,0,144,131,1.36354,14,120,8.32764,120,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
HARRIS,AKAZE,MAT_BF,SEL_NN,1,0,0,243,172,1.38298,15,6.84031,9.15646,6.6376,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
HARRIS,AKAZE,MAT_BF,SEL_NN,1,0,0,213,117,1.36434,16,12.6612,11.1345,12.6612,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
HARRIS,AKAZE,MAT_BF,SEL_NN,1,0,0,126,116,1.36787,17,120,8.29606,120,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
