detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,FREAK,MAT_FLANN,SEL_NN,1,0,0,1541,1541,1.85836,1,120,12.5289,28.2693,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,FREAK,MAT_FLANN,SEL_NN,1,0,0,1529,1529,1.83977,2,120,16.853,16.5433,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,FREAK,MAT_FLANN,SEL_NN,1,0,0,1561,1561,1.83205,3,120,15.3541,21.292,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,FREAK,MAT_FLANN,SEL_NN,1,0,0,1545,1545,1.8465,4,120,12.6599,20.3017,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,FREAK,MAT_FLANN,SEL_NN,1,0,0,1526,1526,1.80372,5,120,13.3314,19.456,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,FREAK,MAT_FLANN,SEL_NN,1,0,0,1566,1566,1.8244,6,120,14.1222,18.0582,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,FREAK,MAT_FLANN,SEL_NN,1,0,0,1529,1529,1.88996,7,120,13.5005,14.6512,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,FREAK,MAT_FLANN,SEL_NN,1,0,0,1547,1547,1.86682,8,120,11.6698,14.4776,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,FREAK,MAT_FLANN,SEL_NN,1,0,0,1572,1572,1.84256,9,120,12.0817,12.9637,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,FREAK,MAT_FLANN,SEL_NN,1,0,0,1567,1567,1.80335,10,120,11.7507,14.901,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,FREAK,MAT_FLANN,SEL_NN,1,0,0,1538,1538,1.8702,11,120,10.1648,11.6916,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,FREAK,MAT_FLANN,SEL_NN,1,0,0,1513,1513,1.81998,12,120,9.68322,12.3374,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,FREAK,MAT_FLANN,SEL_NN,1,0,0,1538,1538,1.82859,13,120,9.20459,11.957,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,FREAK,MAT_FLANN,SEL_NN,1,0,0,1555,1555,1.79613,14,120,8.32764,11.7316,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,FREAK,MAT_FLANN,SEL_NN,1,0,0,1544,1544,1.8442,15,120,9.15646,10.7218,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,FREAK,MAT_FLANN,SEL_NN,1,0,0,1563,1563,1.78623,16,120,11.1345,10.8715,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,FREAK,MAT_FLANN,SEL_NN,1,0,0,1561,1561,1.87709,17,120,8.29606,9.27405,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
